hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,9.32,25.56,0.0,1.27,0.0,0.0,0.2,0.0,0.0,-0.0,-0.0,-7.66,0.22,0.0,1981.84,0.0,0.0,7.44,28.69
1,9.84,28.26,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1986.36,0.0,7.47,0.0,31.21
2,10.34,31.14,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1990.88,0.0,0.0,7.43,27.7
3,10.7,33.8,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1995.4,0.0,0.0,7.44,27.99
4,11.19,36.66,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1999.92,7.44,0.0,0.0,28.16
5,11.58,40.67,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2004.44,0.0,0.0,7.44,28.02
6,11.89,44.66,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2008.96,7.45,0.0,0.0,29.0
7,12.1,48.59,1.76,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2013.48,0.0,0.0,7.43,27.78
8,12.23,51.68,11.13,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2018.0,0.0,0.0,7.47,31.14
9,12.35,54.4,20.26,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2022.52,0.0,0.0,7.54,37.23
10,12.38,57.34,26.96,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2027.04,0.0,0.0,7.57,40.06
11,12.45,59.54,27.72,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2031.55,0.0,0.0,7.61,43.68
12,12.43,60.6,22.29,1.29,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2036.07,0.0,0.0,7.64,46.73
13,12.43,60.78,14.8,1.36,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2040.59,0.0,0.0,7.62,44.52
14,12.35,60.67,7.55,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2045.11,0.0,0.0,7.54,37.07
15,12.34,61.65,2.23,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2049.63,0.0,0.0,7.5,33.46
16,12.33,63.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2054.15,0.0,0.0,7.47,31.38
17,12.3,64.3,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2058.67,0.0,0.0,7.48,32.25
18,12.22,64.91,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2063.19,0.0,0.0,7.5,34.03
19,12.29,64.57,0.0,1.82,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2067.71,0.0,0.0,7.54,37.01
20,12.24,64.19,0.0,1.71,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2072.23,0.0,0.0,7.57,40.36
21,12.02,62.35,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2076.75,0.0,0.0,7.55,37.94
