hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,5.4,15.42,0.0,1.27,0.0,0.0,9.3,5.69,0.0,-0.0,-0.0,-7.66,94.58,22.89,6879.08,0.0,0.0,7.45,29.42
1,5.5,15.76,0.0,1.3,0.0,0.0,9.3,4.39,0.0,-0.0,-0.0,-7.66,84.25,16.9,6883.6,0.0,7.44,0.0,28.59
2,5.59,16.01,0.0,1.11,0.0,0.0,9.3,5.72,0.0,-0.0,-0.0,-7.66,73.91,12.28,6888.12,0.0,7.46,0.0,30.06
3,5.77,16.44,0.0,1.12,0.0,0.0,9.3,3.89,0.0,-0.0,-0.0,-7.66,63.58,6.26,6892.64,0.0,7.45,0.0,28.86
4,5.95,17.25,0.0,1.21,0.0,0.0,9.3,1.59,0.0,-0.0,-0.0,-7.66,53.25,2.17,6897.16,0.0,0.0,7.43,27.65
5,6.09,18.13,0.0,1.25,0.0,0.0,9.3,0.46,0.0,-0.0,-0.0,-7.66,42.91,0.49,6901.68,0.0,7.43,0.0,27.57
6,6.26,19.06,0.0,1.21,0.0,0.0,8.02,0.0,0.0,-0.0,-0.0,-7.66,32.58,0.0,6906.2,0.0,7.43,0.0,26.89
7,6.53,20.37,3.01,1.18,0.0,0.0,3.83,0.0,0.0,-0.0,-0.0,-7.66,23.67,0.0,6910.72,0.0,7.43,0.0,27.27
8,6.89,21.35,24.3,1.19,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,19.41,0.0,6915.24,0.0,0.0,7.47,30.76
9,7.11,21.92,47.98,1.31,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,28.24,0.0,6919.76,0.0,0.0,7.56,39.13
10,7.21,23.34,61.71,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,37.08,0.0,6924.27,0.0,0.0,7.58,41.15
11,7.16,24.04,64.62,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,45.91,0.0,6928.79,0.0,0.0,7.62,44.62
12,7.02,24.39,60.8,1.29,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,54.75,0.0,6933.31,0.0,0.0,7.62,44.44
13,6.93,24.01,52.41,1.36,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,63.58,0.0,6937.83,0.0,0.0,7.62,44.33
14,7.07,22.91,35.87,1.25,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,72.42,0.0,6942.35,0.0,7.54,0.0,37.48
15,7.69,25.27,12.78,1.27,0.0,0.0,0.0,0.0,0.0,-3.66,-0.0,-7.66,81.25,0.0,6946.87,0.0,0.0,7.52,35.69
16,8.38,29.53,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-1.56,-0.0,-7.66,84.73,0.0,6951.39,0.0,0.0,7.46,29.94
17,8.83,31.62,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-4.4,-0.0,-7.66,86.21,0.0,6955.91,7.46,0.0,0.0,29.73
18,9.04,32.08,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-0.25,-0.0,-7.66,90.38,0.0,6960.43,7.51,0.0,0.0,34.66
19,9.13,31.43,0.0,1.82,0.0,0.0,3.57,0.0,0.0,-0.0,-0.0,-7.66,90.62,0.0,6964.95,5.73,0.0,1.82,38.29
20,9.16,30.86,0.0,1.71,0.0,0.0,6.61,0.0,0.0,-0.0,-0.0,-7.66,86.65,0.0,6969.47,2.69,0.0,4.89,40.68
21,9.15,30.56,0.0,1.5,0.0,0.0,5.85,0.0,0.0,-0.0,-0.0,-7.66,79.3,0.0,6973.99,0.0,0.0,7.56,39.4
22,9.16,30.49,0.0,1.47,0.0,0.0,0.86,0.0,0.0,-0.0,-0.0,-7.66,72.8,0.0,6978.51,0.0,0.0,7.51,34.31
23,9.14,30.45,0.0,1.39,0.0,0.0,0.0,0.0,0.0,-2.81,-0.0,-7.66,71.85,0.0,6983.03,7.46,0.0,0.0,30.5
24,9.04,30.48,0.0,1.31,0.0,0.0,0.54,0.0,0.0,-0.0,-0.0,-7.66,74.52,0.0,6987.55,0.0,0.0,7.5,33.72
25,8.93,30.22,0.0,1.15,0.0,0.0,2.53,0.0,0.0,-0.0,-0.0,-7.66,73.92,0.0,6992.07,0.0,7.52,0.0,35.17
26,8.93,30.31,0.0,1.1,0.0,0.0,1.22,0.0,0.0,-0.0,-0.0,-7.66,71.1,0.0,6996.59,0.0,0.0,7.5,33.9
27,9.05,30.86,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-2.47,-0.0,-7.66,69.75,0.0,7001.1,0.0,7.47,0.0,30.93
28,9.21,31.78,0.0,1.16,0.0,0.0,0.0,0.0,0.0,-1.66,-0.0,-7.66,72.1,0.0,7005.62,0.0,7.49,0.0,32.83
29,9.4,32.59,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-3.87,-0.0,-7.66,73.67,0.0,7010.14,0.0,7.48,0.0,31.67
30,9.56,33.31,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-5.82,-0.0,-7.66,77.35,0.0,7014.66,0.0,7.47,0.0,30.59
31,9.7,34.74,3.01,1.18,0.0,0.0,0.0,0.0,0.0,-2.62,-0.0,-7.66,82.88,0.0,7019.18,7.55,0.0,0.0,38.35
32,9.77,34.49,22.03,1.23,0.0,0.0,0.0,0.0,0.0,-9.3,-8.94,-7.66,85.37,0.0,7023.7,0.0,7.51,0.0,34.62
33,9.53,31.32,39.53,1.33,0.0,0.0,0.0,0.0,0.0,-9.3,-20.08,-7.66,94.2,8.05,7028.22,0.0,0.0,7.56,39.59
34,9.44,30.53,49.05,1.43,0.0,0.0,0.0,0.0,0.0,-9.3,-20.08,-7.66,103.04,26.12,7032.74,0.0,0.0,7.71,52.53
35,9.51,31.75,49.9,1.5,0.0,0.0,0.0,0.0,0.0,-9.3,-20.08,-7.66,111.87,44.19,7037.26,0.0,0.0,7.72,54.13
36,9.5,31.49,45.65,1.58,0.0,0.0,0.0,0.0,0.0,-9.3,-9.33,-7.66,120.71,62.26,7041.78,7.81,0.0,0.0,61.93
37,9.66,30.97,36.67,1.62,0.0,0.0,0.0,0.0,0.0,-9.3,-3.87,-7.66,129.54,70.66,7046.3,0.0,0.0,7.77,58.1
38,10.03,31.85,22.99,1.46,0.0,0.0,0.0,0.0,0.0,-3.87,-0.0,-7.66,138.38,74.14,7050.82,7.73,0.0,0.0,54.8
39,10.59,38.67,6.49,1.43,0.0,0.0,0.0,0.0,0.0,-0.38,-0.0,-7.66,142.05,74.14,7055.34,0.0,7.67,0.0,49.13
40,11.0,44.16,0.0,1.59,0.0,0.0,0.0,0.0,0.0,-8.9,-0.0,-7.66,142.42,74.14,7059.86,0.0,7.57,0.0,40.19
41,11.09,44.55,0.0,1.9,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,150.87,74.14,7064.38,0.0,0.0,7.56,39.43
42,11.1,43.83,0.0,2.24,0.0,0.0,0.0,0.0,0.0,-4.11,-0.0,-7.66,159.71,74.14,7068.9,0.0,0.0,7.63,45.4
43,11.05,42.97,0.0,2.49,0.0,0.0,0.74,0.0,0.0,-0.0,-0.0,-7.66,163.61,74.14,7073.41,0.0,0.0,7.67,49.59
44,10.99,42.08,0.0,2.43,0.0,0.0,0.0,0.0,0.0,-1.82,-0.0,-7.66,162.79,74.14,7077.93,7.64,0.0,0.0,46.01
45,10.96,41.39,0.0,2.12,0.0,0.0,0.0,0.0,0.0,-3.26,-0.0,-7.66,164.53,74.14,7082.45,7.61,0.0,0.0,43.55
46,10.93,40.88,0.0,1.93,0.0,0.0,0.0,0.0,0.0,-1.96,-0.0,-7.66,167.63,74.14,7086.97,0.0,0.0,7.61,44.11
47,10.89,40.56,0.0,1.93,0.0,0.0,0.0,0.0,0.0,-4.65,-0.0,-7.66,169.49,74.14,7091.49,0.0,7.58,0.0,41.08
48,10.82,40.23,0.0,1.9,0.0,0.0,0.0,0.0,0.0,-6.41,-0.0,-7.66,173.91,74.14,7096.01,7.56,0.0,0.0,38.87
49,10.77,40.4,0.0,1.79,0.0,0.0,4.58,0.0,0.0,-0.0,-0.0,-7.66,180.0,74.14,7100.53,0.0,0.0,7.68,49.88
50,10.75,40.66,0.0,1.73,0.0,0.0,3.61,0.36,0.0,-0.0,-0.0,-7.66,174.91,74.14,7105.05,0.0,0.0,7.67,49.45
