hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,8.53,18.08,0.0,1.27,0.0,0.0,9.21,0.0,0.0,-0.0,-0.0,-7.66,59.16,0.0,12328.35,0.09,7.36,0.0,29.42
1,8.58,17.95,0.0,1.3,0.0,0.0,8.42,0.0,0.0,-0.0,-0.0,-7.66,48.93,0.0,12332.87,0.0,0.0,7.44,28.59
2,8.59,18.05,0.0,1.11,0.0,0.0,9.3,0.0,0.0,-0.0,-0.0,-6.98,39.57,0.0,12337.39,0.0,0.0,7.46,30.06
3,8.88,18.84,0.0,1.12,0.0,0.0,7.69,0.0,0.0,-0.0,-0.0,-7.66,29.24,0.0,12341.51,0.0,0.0,7.45,28.86
4,9.07,19.95,0.0,1.21,0.0,0.0,5.08,0.0,0.0,-0.0,-0.0,-7.66,20.69,0.0,12346.03,0.0,7.43,0.0,27.65
5,8.73,19.36,0.0,1.25,0.0,0.0,5.89,0.0,0.0,-0.0,-0.0,-7.66,15.05,0.0,12350.55,0.0,0.0,7.43,27.57
6,8.66,18.85,0.0,1.21,0.0,0.0,5.83,0.0,0.0,-0.0,-0.0,-7.66,8.5,0.0,12355.07,0.0,0.0,7.43,26.89
7,9.31,20.01,2.61,1.18,0.0,0.0,1.82,0.0,0.0,-0.0,-0.0,-7.66,2.02,0.0,12359.59,0.0,0.0,7.43,27.27
8,10.16,22.11,30.07,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,12364.11,0.0,7.47,0.0,30.76
9,9.99,20.82,54.04,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,12368.63,0.0,0.0,7.56,39.13
10,9.3,19.03,68.25,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,12373.15,0.0,0.0,7.58,41.15
11,9.32,20.31,73.96,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,12377.67,0.0,0.0,7.62,44.62
12,9.58,22.92,71.2,1.29,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,12382.19,0.0,0.0,7.62,44.44
13,9.75,23.76,61.04,1.36,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,12386.71,0.0,0.0,7.62,44.33
14,9.91,25.36,43.27,1.25,0.0,0.0,0.0,0.0,0.0,-3.8,-0.0,-7.66,0.0,0.0,12391.23,0.0,0.0,7.54,37.48
15,10.23,29.48,17.62,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,3.61,0.0,12395.75,0.0,0.0,7.52,35.69
16,10.54,33.93,0.21,1.25,0.0,0.0,0.0,0.0,0.0,-8.32,-0.0,-7.66,3.61,0.0,12400.26,0.0,7.46,0.0,29.94
17,10.76,36.94,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,11.51,0.0,12404.78,0.0,0.0,7.46,29.73
18,10.97,39.18,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-9.28,-0.0,-7.66,20.34,0.0,12409.3,0.0,7.51,0.0,34.66
19,11.17,40.82,0.0,1.82,0.0,0.0,0.0,0.0,0.0,-7.86,-0.0,-7.66,29.16,0.0,12413.82,0.0,7.55,0.0,38.29
20,11.35,41.96,0.0,1.71,0.0,0.0,0.0,0.0,0.0,-6.68,-0.0,-7.66,36.63,0.0,12418.34,0.0,7.58,0.0,40.68
21,11.47,42.71,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-8.62,-0.0,-7.66,42.97,0.0,12422.86,0.0,7.56,0.0,39.4
22,11.62,43.32,0.0,1.47,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,51.16,0.0,12427.38,7.51,0.0,0.0,34.31
23,11.74,43.61,0.0,1.39,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,59.99,0.0,12431.9,0.0,7.46,0.0,30.5
