hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,11.68,47.03,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,4557.56,0.0,7.44,0.0,28.69
1,11.77,47.7,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,4562.08,7.47,0.0,0.0,31.21
2,11.76,47.68,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,4566.59,7.43,0.0,0.0,27.7
3,11.61,47.27,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,4571.11,0.0,7.44,0.0,27.99
4,11.43,47.38,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,4575.63,0.0,7.44,0.0,28.16
5,11.29,48.63,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,4580.15,0.0,7.44,0.0,28.02
6,11.16,48.4,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,4584.67,0.0,0.0,7.45,29.0
7,11.24,47.65,1.77,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,4589.19,7.43,0.0,0.0,27.78
8,11.23,46.51,12.08,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,4593.71,0.0,0.0,7.47,31.14
9,11.22,45.26,24.01,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,4598.23,0.0,0.0,7.54,37.23
10,11.42,45.81,36.86,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,4602.75,0.0,0.0,7.57,40.06
