hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,3.25,14.55,0.0,1.27,0.32,0.0,9.3,0.0,0.0,-0.0,-0.0,-0.0,33.59,13.27,15.16,0.0,0.0,7.44,28.69
1,2.61,12.05,0.0,1.3,1.51,0.0,1.13,12.61,0.0,-0.0,-0.0,-0.0,23.25,13.27,15.16,0.0,7.47,0.0,31.21
2,2.57,10.44,0.0,1.11,5.57,0.0,1.2,0.0,6.82,-0.0,-0.0,-0.0,22.0,0.0,15.16,0.0,0.0,7.43,27.7
3,2.95,9.44,0.0,1.12,5.18,0.0,9.3,0.0,0.0,-0.0,-0.0,-0.0,20.67,0.0,0.0,0.0,0.0,7.44,27.99
4,3.58,9.58,0.0,1.21,4.48,0.0,9.3,0.0,0.0,-0.0,-0.0,-0.0,10.33,0.0,0.0,0.0,0.0,7.44,28.16
5,4.63,11.37,0.0,1.25,10.77,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,7.44,0.0,28.02
6,5.92,14.23,0.0,1.21,7.64,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,7.45,0.0,29.0
7,7.29,17.38,0.82,1.18,1.1,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,7.43,0.0,27.78
8,8.58,20.35,6.54,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-5.53,0.0,0.0,0.0,7.47,0.0,0.0,31.14
9,9.37,22.32,14.17,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,3.26,0.0,0.0,7.54,37.23
10,10.01,25.75,24.28,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,7.78,0.0,0.0,7.57,40.06
11,10.42,29.37,31.52,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,12.3,0.0,7.61,0.0,43.68
12,10.62,32.2,32.25,1.29,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,16.82,0.0,0.0,7.64,46.73
13,10.68,34.51,26.62,1.36,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,21.34,0.0,0.0,7.62,44.52
14,10.87,36.16,16.49,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,25.86,7.54,0.0,0.0,37.07
15,11.29,40.45,3.72,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,30.38,0.0,0.0,7.5,33.46
16,11.57,44.48,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,34.9,7.47,0.0,0.0,31.38
17,11.74,46.77,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,39.42,0.0,0.0,7.48,32.25
18,11.88,48.4,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,43.94,0.0,0.0,7.5,34.03
19,11.95,49.53,0.0,1.82,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,48.46,7.54,0.0,0.0,37.01
20,12.0,50.28,0.0,1.71,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,52.98,0.0,0.0,7.57,40.36
21,12.03,49.96,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,57.5,7.55,0.0,0.0,37.94
22,11.97,50.04,0.0,1.47,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,62.02,7.52,0.0,0.0,35.63
23,11.79,49.78,0.0,1.39,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,66.54,0.0,0.0,7.47,31.3
24,11.55,48.44,0.0,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,71.06,0.0,0.0,7.48,32.15
25,11.36,46.73,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,75.57,0.0,7.51,0.0,34.47
26,11.16,44.88,0.0,1.1,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,80.09,0.0,7.48,0.0,31.91
27,11.08,43.82,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,84.61,0.0,7.48,0.0,31.55
28,11.34,44.74,0.0,1.16,0.0,0.0,0.0,0.0,0.0,-6.24,-0.0,-7.66,0.0,0.0,89.13,0.0,7.47,0.0,31.29
29,11.48,45.57,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,5.93,0.0,93.65,7.46,0.0,0.0,30.09
30,11.63,46.36,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,14.77,0.0,98.17,0.0,7.47,0.0,31.4
31,11.76,46.79,0.23,1.18,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,23.6,0.0,102.69,0.0,0.0,7.52,35.17
32,11.85,46.88,5.22,1.23,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,32.44,0.0,107.21,0.0,7.52,0.0,35.83
33,11.97,47.77,12.89,1.33,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,41.27,0.0,111.73,7.56,0.0,0.0,39.43
34,12.02,49.56,23.13,1.43,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,50.11,0.0,116.25,7.69,0.0,0.0,51.43
35,12.08,53.85,28.35,1.5,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,58.94,0.0,120.77,0.0,0.0,7.74,55.94
36,12.19,56.91,28.53,1.58,0.0,0.0,0.0,0.0,0.0,-9.3,-13.3,-7.66,67.78,0.0,125.29,0.0,0.0,7.78,59.58
37,12.29,58.01,21.7,1.62,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,76.61,11.97,129.81,0.0,0.0,7.77,57.83
38,12.34,57.42,13.32,1.46,0.0,0.0,0.0,0.0,0.0,-9.3,-13.31,-7.66,85.45,11.97,134.33,0.0,7.73,0.0,54.27
39,12.34,56.7,4.62,1.43,0.0,0.0,0.0,0.0,0.0,-9.3,-7.29,-7.66,94.28,23.95,138.85,7.69,0.0,0.0,50.85
40,12.35,56.22,0.01,1.59,0.0,0.0,0.0,0.0,0.0,-9.3,-12.99,-7.66,103.12,30.51,143.37,7.57,0.0,0.0,40.21
41,12.33,55.31,0.0,1.9,0.0,0.0,0.0,0.0,0.0,-9.3,-12.0,-7.66,111.95,42.2,147.88,7.58,0.0,0.0,40.58
42,12.28,55.25,0.0,2.24,0.0,0.0,0.0,0.0,0.0,-9.3,-6.85,-7.66,120.79,53.0,152.4,7.63,0.0,0.0,45.96
43,12.21,54.96,0.0,2.49,0.0,0.0,0.0,0.0,0.0,-9.3,-3.41,-7.66,129.62,59.17,156.92,7.67,0.0,0.0,49.29
44,12.11,53.37,0.0,2.43,0.0,0.0,0.0,0.0,0.0,-9.3,-7.08,-7.66,138.46,62.24,161.44,0.0,7.61,0.0,43.87
45,11.97,50.96,0.0,2.12,0.0,0.0,0.0,0.0,0.0,-9.3,-4.92,-7.66,147.29,68.61,165.96,0.0,7.6,0.0,43.17
46,11.79,48.04,0.0,1.93,0.0,0.0,0.0,0.0,0.0,-9.3,-0.51,-7.66,156.13,73.04,170.48,0.0,7.62,0.0,44.28
47,11.61,45.1,0.0,1.93,0.0,0.0,0.0,0.0,0.0,-9.3,-0.7,-7.66,164.96,73.51,175.0,0.0,0.0,7.58,40.97
48,11.46,42.18,0.0,1.9,0.0,0.0,0.0,0.0,0.0,-6.53,-0.0,-7.66,173.8,74.14,179.52,7.58,0.0,0.0,41.35
49,11.26,39.11,0.0,1.79,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.05,180.0,74.14,184.04,0.0,7.68,0.0,50.11
50,11.09,37.01,0.0,1.73,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.94,180.0,74.14,185.25,0.0,0.0,7.66,47.9
51,11.05,35.77,0.0,1.64,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.19,180.0,74.14,186.39,0.0,7.66,0.0,48.27
52,11.05,33.73,0.0,1.49,0.0,0.0,2.22,0.0,0.0,-0.0,-0.0,-0.0,180.0,74.14,186.5,0.0,0.0,7.66,48.49
53,11.16,33.29,0.0,1.45,0.0,0.0,3.3,0.0,0.0,-0.0,-0.0,-0.0,177.54,74.14,186.5,0.0,7.67,0.0,49.2
54,11.36,34.55,0.0,1.48,0.0,0.0,0.0,2.83,0.0,-0.0,-0.0,-0.0,173.87,74.14,186.5,0.0,0.0,7.68,50.23
